title|description|start_date|end_date|category|tags|content_type|institution|Id
CUNETAS PERMEBALES|Se plantea la estandarización de una geometría de cuneta en concreto poroso. Para ello se parte de la identificación identidades de diseño para sistemas de drenajes en el país (rangos de intensidad de precipitación alta, media y baja) áreas drenantes estándar de acuerdo a las características de vía y rangos de pediente. Dadas estas tres variables y con la rigurosidad de la cuneta se plantea la optimización de la capacidad hidráulica para dichas cunetas. Es importante resaltar que el diseño de dichas cunetas depende principalmente de varios factores. 1) capacidad hidraulica de la cuneta, la cual responde a las características hidrológicas de la vía y el área que escurre sobre la misma, 2) la pendiente de al vía o de la cuneta que depende del alineamiento establecido y 3) la rigurosidad y resistencia de la cuneta que depende del material. Adicionalmente de algunas consideraciones geométricas para su funcionamieto.|2018-05-15|2023-12-15|Ingeniería|Infraestructura vial, Drenaje, Diseño geométrico, Hidrología, Ingeniería civil|Proyecto|UDEM|94
ESCUELAS RURALES SEGURAS|Este proyecto se enfoca en abordar el riesgo en las escuelas rurales de Antioquia, Colombia, donde la mayoría de las sedes educativas se encuentran en áreas vulnerables a fenómenos naturales como deslizamientos, inundaciones y terremotos. Se propone desarrollar una plataforma de evaluación de riesgos que ayudará a priorizar intervenciones en estas escuelas. Esto incluye la creación de una matriz de clasificación de las escuelas rurales, el desarrollo de una metodología de evaluación simplificada de riesgos sísmicos y geológicos, la implementación de esta metodología en escuelas piloto y la ejecución de un plan de intervención estructural y de ingeniería para reducir el riesgo en una escuela rural específica. También se promoverá la colaboración entre diferentes actores mediante la creación de una Red Antioqueña de Escuelas Rurales.|2021-12-01|2023-07-31|Social|Riesgo, Escuelas rurales, Colombia, Plataforma de evaluación, Red de colaboración, Ingeniería sísmica, Bioingeniería, Seguridad escolar, Desastres naturales.|Proyecto|UDEM|95
AMIBOT|Un robot instrumentado con sensores de proximidad para la desinfección de manos y suelas de zapatos y bombas nebulizadoras con doble fluido de trabajo (alcohol etílico 70% y armonio cuaternario de 5ta generación) con un diseño amigable para los estudiantes|2020-09-23|2021-12-30|Tecnología|Desinfección, Robot, Sensores, Desinfectante, Estudiantes, Seguridad escolar.|Proyecto|UDEM|96
Web comic para la innovación educativa en salud sexual para adolescentes|"
Sitio web que alojará la serie web comic, con diseño moderno y cercano a los adolescentes. El web comic, será ilustrado con arte digital fresco y divertido. La narrativa tendrá como punto de partida la educación sexual, con un lenguaje actual y fácil de digerir. Objetivo Diseñar un prototipo de web comic como herramienta para el aprendizaje de la salud sexual de los adolescentes"|2020-01-01|2021-12-15|Social|"Educación,Salud,Adolescentes,Innovación



"|Proyecto|UDEM|97
PLEYADES (Plataforma para la exploración y analítica de la deserción estudiantil)|Este proyecto se constituye como un sistema de información especializado, para el análisis de la permanencia estudiantil, fundamentado en el análisis de datos para la toma de decisiones, compuesto por tres componentes fundamentales: el primero se refiere a unos modelos de predicción construidos con inteligencia artificial sobre plataformas Python, el segundo una aplicación web para el ingreso y parametrización de la información a procesar y el tercero un conjunto de tableros (dashboards) para hacer el análisis de la información procesada. El proyecto tiene tres componentes fundamentales: el primero se refiere a unos modelos de predicción construidos con inteligencia artificial sobre plataformas Python, el segundo una aplicación web para el ingreso y parametrización de la información a procesar y el tercero un conjunto de tableros (dashboards) para hacer el análisis de la información procesada|2020-08-10|2021-01-14|Tecnología|Educación, tecnología, Web, Inteligencia Artificial|Proyecto|UDEM|98
AgroMIND: Prototipo de monitoreo remoto para agricultura familiar campesina, una propuesta para la generación de capacidades de adaptación a la variabilidad climática (Un caso de estudio a partir de la Ecohuerta UdeMedellín|Este proyecto aborda la evolución de la tecnología en la agricultura, centrándose en la agricultura de precisión y las tecnologías emergentes como el Internet de las cosas, la inteligencia artificial y el aprendizaje automático aplicados a la agricultura. Se destaca la influencia del cambio climático en la perspectiva agrícola y la necesidad de proteger la seguridad alimentaria mientras se promueve la productividad y la resiliencia. La solución propuesta es una plataforma tecnológica que integra hardware y software para monitorear variables agroclimáticas en tiempo real en el agroecosistema Ecohuerta UdeMedellín, una agricultura familiar campesina. Este monitoreo permitirá tomar decisiones de gestión agrícola y generar conocimiento para ayudar a las familias campesinas a adaptarse a la variabilidad climática.|2020-07-15|2021-07-14|Medio Ambiente|Agricultura, Cambio climático, Seguridad alimentaria, Monitoreo agroclimático.|Proyecto|UDEM|99
"Plataforma robótica para atención hospitalaria de pacientes con enfermedades infecto-contagiosas
"|Este caso de innovación se pretende desarrollar una plataforma robótica que reemplazará al personal médico en tareas que cotidianamente exigen el contacto con pacientes que padecen enfermedades infecto-contagiosas. El robot estará dotado de habilidades de comunicación que le facilitará tanto al doctor como a los familiares el contacto con el paciente, por otra parte se busca que el robot también le entregue al paciente medicamentos y/o alimentos. Para esta primera etapa la plataforma robótica que se pretende desarrollar estará dotada con capacidades de navegación dirigida y otras funcionalidades que le permitirán al autómata (robot):  Realizar la navegación teleoperada, Detección obstáculos,  Reconstruir tridimensionalmente su entorno y Enlace para teleconferencia.|2020-07-15|2022-12-30|Salud|Robótica médica, Atención hospitalaria, Enfermedades infecto-contagiosas, Plataforma robótica.|Proyecto|UDEM|100
VIDEOJUEGO PARA LA INNOVACIÓN EDUCATIVA|Videojuego con un alto componente narrativo, contextualizado en la ciudad de Medellín, que pone al jugador en algunas situaciones cotidianas relacionadas a la educación sexual en las que deberá tomar decisiones y podrá al mismo tiempo aprender sobre la profundidad de esta situación que es compleja en nuestra sociedad. Objetivo diseñar un prototipo de videojuego como herramienta para el aprendizaje de la salud sexual de los adolescentes.|2020-01-01|2021-12-15|Social|Videojuego educativo, Innovación educativa, Educación sexual, Aprendizaje interactivo.|Proyecto|UDEM|101
Smart health mirror - sistema portable de iot para el monitoreo de variables médicos humanas|El proyecto smart health mirror – sistema portable de iot para el monitoreo de variables médicas humanas consta de: i) un sistema innovador de visualización de información a través de una película doble cara, y ii) una comunicación entre una serie de sensores de diagnóstico general del estado actual de un paciente (peso, azúcar en la sangre, saturación de oxígeno, temperatura, pulsaciones y presión sanguínea) con un dispositivo maestro (computador de placa reducida). la información reportada por los sensores es enviada al dispositivo de visualización y a una base de datos en la nube, donde podrá ser monitoreada por terceros autorizados|2019-07-15|2021-01-14|Salud|IoT médico, Monitoreo de salud, Smart health mirror, Diagnóstico médico|Proyecto|UDEM|102
Dispositivo de ultra bajo consumo para la recolección local y transmisión de datos de sensores de humedad y lluvia|Dispositivo de ultra bajo consumo para la recolección local y transmisión de datos de sensores de humedad y lluvia. Objetivo Construir cuatro prototipos de alta fidelidad para la recolección y transporte de información de sensores de humedad y lluvia a través de protocolos de internet de las cosas|2019-07-15|2022-07-30|Medio Ambiente|IoT, Sensores de humedad, Monitoreo climático, Dispositivo de bajo consumo|Proyecto|UDEM|103
